From,To,From_Lat,From_Lng,To_Lat,To_Lng,Distance_KM,Time_Min,Transfers,Buses,Route_Steps
"Secunderabad Railway Station","Afzalgunj",17.43426,78.50158,17.37331,78.47693,8.3,28,0,"251M/A","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops)"
"Secunderabad Railway Station","Alugadda Bhavi",17.43426,78.50158,17.43531,78.51438,1.4,5,0,"186","186: Secunderabad Railway Station → Alugadda Bhavi (2 stops)"
"Secunderabad Railway Station","Patny",17.43426,78.50158,17.44318,78.49625,1.1,4,0,"30","30: Secunderabad Railway Station → Patny (2 stops)"
"Secunderabad Railway Station","Cbs",17.43426,78.50158,17.37823,78.48168,7.3,25,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Cbs (8 stops)"
"Secunderabad Railway Station","Erragadda",17.43426,78.50158,17.45617,78.43378,9.1,31,1,"47YM → 10KH","47YM: Secunderabad Railway Station → Kanaka Durga Temple (6 stops) | 10KH: Kanaka Durga Temple → Erragadda (5 stops)"
"Secunderabad Railway Station","Gajularamaram X Road",17.43426,78.50158,17.50941,78.44817,12.3,42,1,"567G → 171SM","567G: Secunderabad Railway Station → Chintal (7 stops) | 171SM: Chintal → Gajularamaram X Road (3 stops)"
"Secunderabad Railway Station","Jbs",17.43426,78.50158,17.44757,78.49664,1.6,6,0,"290U","290U: Secunderabad Railway Station → Jbs (3 stops)"
"Secunderabad Railway Station","Hayathnagar Bus Station",17.43426,78.50158,17.32732,78.60489,20.4,69,1,"186 → 72/208C","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops) | 72/208C: Lb Nagar X Road → Hayathnagar Bus Station (10 stops)"
"Secunderabad Railway Station","Rathifile Bus Station",17.43426,78.50158,17.43457,78.50488,0.4,2,0,"",""
"Secunderabad Railway Station","Nampally Public Garoaden",17.43426,78.50158,17.39628,78.47082,7.3,25,0,"8N","8N: Secunderabad Railway Station → Nampally Railway Station (6 stops)"
"Secunderabad Railway Station","Lakdikapool",17.43426,78.50158,17.40361,78.46497,5.6,19,0,"8N","8N: Secunderabad Railway Station → Rbi Birlamandir (5 stops)"
"Secunderabad Railway Station","Ecil Bus Terminal",17.43426,78.50158,17.47253,78.57006,11.6,39,0,"16AB/5K","16AB/5K: Secunderabad Railway Station → Ecil Bus Terminal (8 stops)"
"Secunderabad Railway Station","Secretariat",17.43426,78.50158,17.40812,78.47182,5.4,18,0,"AA","AA: Secunderabad Railway Station → Secretariat (4 stops)"
"Secunderabad Railway Station","Patancheruvu",17.43426,78.50158,17.52903,78.26428,29,97,3,"186 → 9EM → 224L → 300A/217","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops) | 224L: Miyapur X Road → Lingampally Bs (5 stops) | 300A/217: Lingampally Bs → Patancheruvu (5 stops)"
"Secunderabad Railway Station","Darul Shifa",17.43426,78.50158,17.37327,78.48299,8.9,30,0,"251M/A","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops)"
"Secunderabad Railway Station","Plaza",17.43426,78.50158,17.44330,78.49066,1.5,6,0,"10JB","10JB: Secunderabad Railway Station → Plaza (2 stops)"
"Secunderabad Railway Station","Bluesea Cafe",17.43426,78.50158,17.43713,78.50515,0.5,2,0,"",""
"Secunderabad Railway Station","Tarnaka",17.43426,78.50158,17.42571,78.53223,3.5,12,0,"186","186: Secunderabad Railway Station → Tarnaka (3 stops)"
"Secunderabad Railway Station","Lb Nagar X Road",17.43426,78.50158,17.34699,78.55013,13.6,46,0,"186","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops)"
"Secunderabad Railway Station","Lingampally Bs",17.43426,78.50158,17.49485,78.31689,22.1,74,2,"186 → 9EM → 224L","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops) | 224L: Miyapur X Road → Lingampally Bs (5 stops)"
"Secunderabad Railway Station","Kukatpally",17.43426,78.50158,17.48385,78.41242,11.5,39,0,"186","186: Secunderabad Railway Station → Kukatpally (8 stops)"
"Secunderabad Railway Station","Jublee Bus Station",17.43426,78.50158,17.44761,78.49758,1.5,6,0,"AC","AC: Secunderabad Railway Station → Jublee Bus Station (2 stops)"
"Secunderabad Railway Station","Ibrahimpatnam Bus Station",17.43426,78.50158,17.19144,78.64766,35.7,120,2,"186 → 300L/279K → 401","186: Secunderabad Railway Station → Lb Nagar X Road (9 stops) | 300L/279K: Lb Nagar → Bongloor X Road (16 stops) | 401: Bongloor X Road → Ibrahimpatnam Bus Station (3 stops)"
"Secunderabad Railway Station","Prashanth Nagar",17.43426,78.50158,17.47378,78.42698,5.2,18,1,"10Y/F → 16HP","10Y/F: Secunderabad Railway Station → Malkajgiri (4 stops) | 16HP: Malkajgiri → Prashanth Nagar (2 stops)"
"Secunderabad Railway Station","Moosapet",17.43426,78.50158,17.47081,78.42668,9.7,33,0,"186","186: Secunderabad Railway Station → Prashanth Nagar (7 stops)"
"Secunderabad Railway Station","Cherlapally Bus Stand",17.43426,78.50158,17.46329,78.61145,13.5,46,1,"186 → 250C/R","186: Secunderabad Railway Station → Tarnaka (3 stops) | 250C/R: Tarnaka → Cherlapally Bus Stand (7 stops)"
"Secunderabad Railway Station","Koti Medical College",17.43426,78.50158,17.38310,78.48282,6.7,23,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Koti Medical College (7 stops)"
"Secunderabad Railway Station","Chadarghat",17.43426,78.50158,17.37722,78.49302,7.3,25,1,"219 → 1M/D","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1M/D: Rtc X Roads → Chadarghat (5 stops)"
"Secunderabad Railway Station","Kachiguda X Road",17.43426,78.50158,17.39069,78.48938,5.6,19,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Kachiguda X Road (5 stops)"
"Secunderabad Railway Station","Gandimaisamma",17.43426,78.50158,17.57508,78.42319,20.2,68,0,"567G","567G: Secunderabad Railway Station → Gandimaisamma (11 stops)"
"Secunderabad Railway Station","Mehdipatnam",17.43426,78.50158,17.39527,78.43980,8.5,29,2,"8N → 5R → 6L","8N: Secunderabad Railway Station → Rbi Birlamandir (5 stops) | 5R: Rbi Birlamandir → Mahavir Hospital (3 stops) | 6L: Mahavir Hospital → Mehdipatnam (2 stops)"
"Secunderabad Railway Station","Bata",17.43426,78.50158,17.43600,78.49370,0.8,3,0,"",""
"Secunderabad Railway Station","Jntu X Rd",17.43426,78.50158,17.49672,78.39445,14.6,49,1,"186 → 10JP","186: Secunderabad Railway Station → Kphb Temple Bus Stop (9 stops) | 10JP: Kphb Temple Bus Stop → Jntu X Rd (3 stops)"
"Secunderabad Railway Station","Super Bazar",17.43426,78.50158,17.37193,78.50992,8.8,30,1,"219 → 1M/D","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1M/D: Rtc X Roads → Super Bazar (8 stops)"
"Secunderabad Railway Station","Race Course",17.43426,78.50158,17.45076,78.48820,2.3,8,0,"186","186: Secunderabad Railway Station → Race Course (3 stops)"
"Secunderabad Railway Station","Punjagutta",17.43426,78.50158,17.42645,78.45141,6.4,22,0,"AC","AC: Secunderabad Railway Station → Paryatak Bhavan (4 stops)"
"Secunderabad Railway Station","Balanagar",17.43426,78.50158,17.46697,78.44626,7.5,25,0,"186","186: Secunderabad Railway Station → Balanagar (6 stops)"
"Secunderabad Railway Station","Chintal",17.43426,78.50158,17.49540,78.45210,10.7,36,0,"567G","567G: Secunderabad Railway Station → Chintal (7 stops)"
"Secunderabad Railway Station","Nanal Nagar",17.43426,78.50158,17.39620,78.42700,9.9,33,2,"8N → 5R → 116G","8N: Secunderabad Railway Station → Rbi Birlamandir (5 stops) | 5R: Rbi Birlamandir → Mahavir Hospital (3 stops) | 116G: Mahavir Hospital → Nanal Nagar (3 stops)"
"Secunderabad Railway Station","Abids Gpo",17.43426,78.50158,17.38757,78.47617,6.7,23,0,"251M/A","251M/A: Secunderabad Railway Station → Abids Gpo (6 stops)"
"Secunderabad Railway Station","Kachiguda Railway Station",17.43426,78.50158,17.38950,78.49726,6.4,22,1,"219 → 2K","219: Secunderabad Railway Station → Tsrtc Bus Bhavan (7 stops) | 2K: Tsrtc Bus Bhavan → Tourist Hotel (5 stops)"
"Secunderabad Railway Station","Ghatkesar Bus Station",17.43426,78.50158,17.45213,78.68231,21.6,73,1,"290/186 → 500","290/186: Secunderabad Railway Station → Uppal X Road (6 stops) | 500: Uppal X Road → Ghatkesar Bus Station (2 stops)"
"Secunderabad Railway Station","Chengicherla",17.43426,78.50158,17.43313,78.60845,15.7,53,2,"290/186 → 115RR → 18C/R","290/186: Secunderabad Railway Station → Uppal X Road (6 stops) | 115RR: Uppal X Road → Boduppal Kamman (4 stops) | 18C/R: Boduppal Kamman → Chengicherla (9 stops)"
"Secunderabad Railway Station","Quthbullapur X Rd",17.43426,78.50158,17.49890,78.45176,11.1,37,0,"567G","567G: Secunderabad Railway Station → Chintal (7 stops)"
"Secunderabad Railway Station","Shapur Nagar",17.43426,78.50158,17.51600,78.44690,13,44,0,"567G","567G: Secunderabad Railway Station → Shapur Nagar (8 stops)"
"Secunderabad Railway Station","Panama Godown",17.43426,78.50158,17.33840,78.56864,15.8,53,0,"186","186: Secunderabad Railway Station → Panama Godown (10 stops)"
"Secunderabad Railway Station","Gachibowli X Road",17.43426,78.50158,17.43903,78.36295,17.3,58,1,"47YM → 10HW","47YM: Secunderabad Railway Station → Venkatagiri X Roads (8 stops) | 10HW: Venkatagiri X Roads → Telecom Nagar (6 stops)"
"Secunderabad Railway Station","Abids Grammar School",17.43426,78.50158,17.39333,78.47625,6.1,21,0,"251M/A","251M/A: Secunderabad Railway Station → Basheer Bagh (5 stops)"
"Secunderabad Railway Station","Dilsukhnagar",17.43426,78.50158,17.36862,78.52366,11.8,40,0,"107JL","107JL: Secunderabad Railway Station → Dilsukhnagar (18 stops)"
"Secunderabad Railway Station","Sathamrai",17.43426,78.50158,17.27452,78.40118,22.4,75,0,"251M/A","251M/A: Secunderabad Railway Station → Sathamrai (14 stops)"
"Secunderabad Railway Station","Gajularam X Road",17.43426,78.50158,17.51010,78.44771,12.4,42,1,"567G → 9M/X","567G: Secunderabad Railway Station → Chintal (7 stops) | 9M/X: Chintal → Gajularam X Road (3 stops)"
"Secunderabad Railway Station","Rc Puram",17.43426,78.50158,17.51362,78.28780,26,87,3,"186 → 9EM → 224L → 300A/217","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops) | 224L: Miyapur X Road → Lingampally Bs (5 stops) | 300A/217: Lingampally Bs → Rc Puram (3 stops)"
"Secunderabad Railway Station","Kphb",17.43426,78.50158,17.49456,78.40081,14.2,48,0,"186","186: Secunderabad Railway Station → Kphb (10 stops)"
"Secunderabad Railway Station","Pisal Banda",17.43426,78.50158,17.33995,78.50379,11.8,40,3,"219 → 1M/D → 277K → 460","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1M/D: Rtc X Roads → Chadarghat (5 stops) | 277K: Chadarghat → Is Sadan (5 stops) | 460: Is Sadan → Pisal Banda (3 stops)"
"Secunderabad Railway Station","Police Lines",17.43426,78.50158,17.44365,78.47499,3.2,11,0,"47YN","47YN: Secunderabad Railway Station → Police Lines (3 stops)"
"Secunderabad Railway Station","Uppal X Road",17.43426,78.50158,17.40126,78.56007,7.7,26,0,"290/186","290/186: Secunderabad Railway Station → Uppal X Road (6 stops)"
"Secunderabad Railway Station","Boats Club",17.43426,78.50158,17.42644,78.48664,1.8,7,0,"251M/A","251M/A: Secunderabad Railway Station → Boats Club (3 stops)"
"Secunderabad Railway Station","Womens College",17.43426,78.50158,17.38481,78.48762,6.3,23,1,"219 → 1J","219: Secunderabad Railway Station → Rtc X Roads (6 stops) | 1J: Rtc X Roads → Koti Maternity Hospital (6 stops)"
"Secunderabad Railway Station","Hydernagar",17.43426,78.50158,17.49919,78.38352,15,51,1,"186 → 431","186: Secunderabad Railway Station → Kukatpally (8 stops) | 431: Kukatpally → Hydernagar (3 stops)"
"Secunderabad Railway Station","Charminar",17.43426,78.50158,17.35868,78.47403,10.8,37,1,"251M/A → 253M","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops) | 253M: Afzalgunj → Charminar (3 stops)"
"Secunderabad Railway Station","Hitech City",17.43426,78.50158,17.44995,78.38257,14.3,48,1,"47YM → 10HW","47YM: Secunderabad Railway Station → Venkatagiri X Roads (8 stops) | 10HW: Venkatagiri X Roads → Hitech City (4 stops)"
"Secunderabad Railway Station","Ameerpet",17.43426,78.50158,17.43155,78.44765,6.5,24,0,"47YM","47YM: Secunderabad Railway Station → Kanaka Durga Temple (6 stops)"
"Secunderabad Railway Station","Gandipet X Road",17.43426,78.50158,17.38500,78.33100,21.8,73,3,"47YM → 47L → 47YN → 505","47YM: Secunderabad Railway Station → Panchavati Colony (14 stops) | 47L: Panchavati Colony → Manikonda (2 stops) | 47YN: Manikonda → Narsingi (4 stops) | 505: Narsingi → Gandipet X Road (4 stops)"
"Secunderabad Railway Station","Gachibowli",17.43426,78.50158,17.43966,78.36356,17.3,58,1,"47YM → 10HW","47YM: Secunderabad Railway Station → Venkatagiri X Roads (8 stops) | 10HW: Venkatagiri X Roads → Telecom Nagar (6 stops)"
"Secunderabad Railway Station","Miyapur",17.43426,78.50158,17.49669,78.36077,17.5,59,1,"186 → 9EM","186: Secunderabad Railway Station → Kukatpally (8 stops) | 9EM: Kukatpally → Miyapur X Road (4 stops)"
"Secunderabad Railway Station","Sr Nagar",17.43426,78.50158,17.44027,78.44260,7.5,25,1,"47YM → 10KH","47YM: Secunderabad Railway Station → Kanaka Durga Temple (6 stops) | 10KH: Kanaka Durga Temple → Sr Nagar (3 stops)"
"Secunderabad Railway Station","Begumpet",17.43426,78.50158,17.10805,78.55358,45.3,152,2,"251M/A → 8A/253M → 478","251M/A: Secunderabad Railway Station → Afzalgunj (7 stops) | 8A/253M: Afzalgunj → Imamguda (16 stops) | 478: Imamguda → Begumpet (7 stops)"
"Secunderabad Railway Station","Tolichowki",17.43426,78.50158,17.39924,78.41552,11.2,38,2,"8N → 5R → 116G","8N: Secunderabad Railway Station → Rbi Birlamandir (5 stops) | 5R: Rbi Birlamandir → Mahavir Hospital (3 stops) | 116G: Mahavir Hospital → Tolichowki (4 stops)"
"Secunderabad Railway Station","Kondapur",17.43426,78.50158,17.46392,78.36725,16.7,56,2,"47YM → 10HW → 113Y/K","47YM: Secunderabad Railway Station → Venkatagiri X Roads (8 stops) | 10HW: Venkatagiri X Roads → Hitech City (4 stops) | 113Y/K: Hitech City → Kothaguda X Rd (3 stops)"
"Secunderabad Railway Station","Madhapur",17.43426,78.50158,17.63017,78.77482,42.9,143,1,"16AB/5K → 546","16AB/5K: Secunderabad Railway Station → Rampally X Road (11 stops) | 546: Rampally X Road → Madhapur (12 stops)"
"Secunderabad Railway Station","Shamshabad",17.43426,78.50158,17.26205,78.38824,24.4,82,0,"251M/A","251M/A: Secunderabad Railway Station → Shamshabad (15 stops)"
"Afzalgunj","Secunderabad Railway Station",17.37331,78.47693,17.43426,78.50158,8.9,32,0,"1/25S","1/25S: Cbs → Secunderabad Railway Station (13 stops)"
"Afzalgunj","Alugadda Bhavi",17.37331,78.47693,17.43531,78.51438,10,35,1,"8/26S → 16/20","8/26S: Afzalgunj → Middle Tank Bund (7 stops) | 16/20: Middle Tank Bund → Alugaddabavi (4 stops)"
"Afzalgunj","Patny",17.37331,78.47693,17.44318,78.49625,9.7,34,0,"8/26S","8/26S: Afzalgunj → Plaza (11 stops)"
"Afzalgunj","Cbs",17.37331,78.47693,17.37823,78.48168,0.8,4,0,"",""
"Afzalgunj","Erragadda",17.37331,78.47693,17.45617,78.43378,10.5,37,0,"9M","9M: Afzalgunj → Erragadda (15 stops)"
"Afzalgunj","Gajularamaram X Road",17.37331,78.47693,17.50941,78.44817,18.4,64,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Gajularam X Road (9 stops)"
"Afzalgunj","Jbs",17.37331,78.47693,17.44757,78.49664,10.7,38,0,"1/25S","1/25S: Cbs → Jbs (15 stops)"
"Afzalgunj","Hayathnagar Bus Station",17.37331,78.47693,17.32732,78.60489,16,55,0,"72H/463","72H/463: Afzalgunj → Hayathnagar Bus Station (26 stops)"
"Afzalgunj","Rathifile Bus Station",17.37331,78.47693,17.43457,78.50488,8.6,31,0,"95M/1Z","95M/1Z: Cbs → Rathifile Bus Station (13 stops)"
"Afzalgunj","Nampally Public Garoaden",17.37331,78.47693,17.39628,78.47082,2.6,10,0,"8/26S","8/26S: Afzalgunj → Nampally Public Garoaden (4 stops)"
"Afzalgunj","Lakdikapool",17.37331,78.47693,17.40361,78.46497,3.7,14,0,"9M","9M: Afzalgunj → Lakdikapool (5 stops)"
"Afzalgunj","Ecil Bus Terminal",17.37331,78.47693,17.47253,78.57006,16.6,57,2,"65K/123 → 2U → 86J","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 2U: Kachiguda Railway Station → Shankar Matt (3 stops) | 86J: Shankar Matt → Ecil Bus Terminal (17 stops)"
"Afzalgunj","Secretariat",17.37331,78.47693,17.40812,78.47182,4.3,16,0,"8/26S","8/26S: Afzalgunj → Secretariat (6 stops)"
"Afzalgunj","Patancheruvu",17.37331,78.47693,17.52903,78.26428,32.3,109,1,"9M → 222A","9M: Afzalgunj → Lakdikapool (5 stops) | 222A: Lakdikapool → Patancheruvu (36 stops)"
"Afzalgunj","Darul Shifa",17.37331,78.47693,17.37327,78.48299,0.8,4,0,"",""
"Afzalgunj","Plaza",17.37331,78.47693,17.44330,78.49066,9.1,31,0,"8/26S","8/26S: Afzalgunj → Plaza (11 stops)"
"Afzalgunj","Bluesea Cafe",17.37331,78.47693,17.43713,78.50515,10.8,38,1,"8/26S → 227G","8/26S: Afzalgunj → Plaza (11 stops) | 227G: Plaza → Bluesea Cafe (4 stops)"
"Afzalgunj","Tarnaka",17.37331,78.47693,17.42571,78.53223,8.5,30,2,"65K/123 → 2U → 3","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 2U: Kachiguda Railway Station → Shankar Matt (3 stops) | 3: Shankar Matt → Tarnaka (6 stops)"
"Afzalgunj","Lb Nagar X Road",17.37331,78.47693,17.34699,78.55013,9.8,35,0,"72H/463","72H/463: Afzalgunj → Lb Nagar X Road (16 stops)"
"Afzalgunj","Lingampally Bs",17.37331,78.47693,17.49485,78.31689,25.5,87,1,"9M → 222A","9M: Afzalgunj → Lakdikapool (5 stops) | 222A: Lakdikapool → Lingampally Bs (29 stops)"
"Afzalgunj","Kukatpally",17.37331,78.47693,17.48385,78.41242,14.4,49,1,"9M → 10MN","9M: Afzalgunj → Erragadda (15 stops) | 10MN: Erragadda → Kukatpally (3 stops)"
"Afzalgunj","Jublee Bus Station",17.37331,78.47693,17.44761,78.49758,10.5,37,1,"1/25S → AC","1/25S: Cbs → Secunderabad Railway Station (13 stops) | AC: Secunderabad Railway Station → Jublee Bus Station (2 stops)"
"Afzalgunj","Ibrahimpatnam Bus Station",17.37331,78.47693,17.19144,78.64766,31.2,106,2,"72V → 277Y → 401","72V: Afzalgunj → Chadarghat (4 stops) | 277Y: Chadarghat → Turkyamjal (10 stops) | 401: Turkyamjal → Ibrahimpatnam Bus Station (4 stops)"
"Afzalgunj","Prashanth Nagar",17.37331,78.47693,17.47378,78.42698,12.6,47,1,"9M → 9EM","9M: Afzalgunj → Erragadda (15 stops) | 9EM: Erragadda → Moosapet (2 stops)"
"Afzalgunj","Moosapet",17.37331,78.47693,17.47081,78.42668,12.3,43,1,"9M → 9EM","9M: Afzalgunj → Erragadda (15 stops) | 9EM: Erragadda → Moosapet (2 stops)"
"Afzalgunj","Cherlapally Bus Stand",17.37331,78.47693,17.46329,78.61145,18.8,64,3,"65K/123 → 2U → 203A/3K → 250C/R","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 2U: Kachiguda Railway Station → Shankar Matt (3 stops) | 203A/3K: Shankar Matt → Mallapur (10 stops) | 250C/R: Mallapur → Cherlapally Bus Stand (4 stops)"
"Afzalgunj","Koti Medical College",17.37331,78.47693,17.38310,78.48282,1.4,6,0,"536","536: Afzalgunj → Koti Medical College (3 stops)"
"Afzalgunj","Chadarghat",17.37331,78.47693,17.37722,78.49302,2,8,0,"65K/123","65K/123: Afzalgunj → Chadarghat (3 stops)"
"Afzalgunj","Kachiguda X Road",17.37331,78.47693,17.39069,78.48938,3.9,15,0,"65K/123","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops)"
"Afzalgunj","Gandimaisamma",17.37331,78.47693,17.57508,78.42319,23.6,80,0,"72H/463","72H/463: Afzalgunj → Gandimaisamma (31 stops)"
"Afzalgunj","Mehdipatnam",17.37331,78.47693,17.39527,78.43980,6.6,23,1,"9M → 6L","9M: Afzalgunj → Lakdikapool (5 stops) | 6L: Lakdikapool → Mehdipatnam (3 stops)"
"Afzalgunj","Bata",17.37331,78.47693,17.43600,78.49370,8.2,29,1,"8/26S → 5K","8/26S: Afzalgunj → Middle Tank Bund (7 stops) | 5K: Middle Tank Bund → Bata (3 stops)"
"Afzalgunj","Jntu X Rd",17.37331,78.47693,17.49672,78.39445,16.8,58,1,"9M → 113K","9M: Afzalgunj → Erragadda (15 stops) | 113K: Erragadda → Kphb Main Road (4 stops)"
"Afzalgunj","Super Bazar",17.37331,78.47693,17.37193,78.50992,3.8,14,0,"72V","72V: Afzalgunj → Super Bazar (7 stops)"
"Afzalgunj","Race Course",17.37331,78.47693,17.45076,78.48820,10,35,0,"8/26S","8/26S: Afzalgunj → Race Course (12 stops)"
"Afzalgunj","Punjagutta",17.37331,78.47693,17.42645,78.45141,6.6,24,0,"9M","9M: Afzalgunj → Nims Hospital (9 stops)"
"Afzalgunj","Balanagar",17.37331,78.47693,17.46697,78.44626,13.5,47,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Balanagar (3 stops)"
"Afzalgunj","Chintal",17.37331,78.47693,17.49540,78.45210,16.6,57,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Chintal (7 stops)"
"Afzalgunj","Nanal Nagar",17.37331,78.47693,17.39620,78.42700,8,28,1,"9M → 116G","9M: Afzalgunj → Lakdikapool (5 stops) | 116G: Lakdikapool → Nanal Nagar (4 stops)"
"Afzalgunj","Abids Gpo",17.37331,78.47693,17.38757,78.47617,1.6,6,0,"70A","70A: Afzalgunj → Abids Gpo (2 stops)"
"Afzalgunj","Kachiguda Railway Station",17.37331,78.47693,17.38950,78.49726,3.1,12,0,"65K/123","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops)"
"Afzalgunj","Ghatkesar Bus Station",17.37331,78.47693,17.45213,78.68231,24.4,83,2,"65K/123 → 113Z/M → 500","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 113Z/M: Fever Hospital → Uppal X Road (10 stops) | 500: Uppal X Road → Ghatkesar Bus Station (2 stops)"
"Afzalgunj","Chengicherla",17.37331,78.47693,17.43313,78.60845,20.2,70,3,"65K/123 → 2U → 203A/3K → 250S","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 2U: Kachiguda Railway Station → Shankar Matt (3 stops) | 203A/3K: Shankar Matt → Mallapur (10 stops) | 250S: Mallapur Bus Stop → Chengicherla (5 stops)"
"Afzalgunj","Quthbullapur X Rd",17.37331,78.47693,17.49890,78.45176,18,61,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Quthbullapur X Rd (9 stops)"
"Afzalgunj","Shapur Nagar",17.37331,78.47693,17.51600,78.44690,19,65,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Shapur Nagar (10 stops)"
"Afzalgunj","Panama Godown",17.37331,78.47693,17.33840,78.56864,11.9,41,0,"72H/463","72H/463: Afzalgunj → Panama Godown (19 stops)"
"Afzalgunj","Gachibowli X Road",17.37331,78.47693,17.43903,78.36295,16.4,56,1,"9M → 6L","9M: Afzalgunj → Lakdikapool (5 stops) | 6L: Lakdikapool → Gachibowli X Road (8 stops)"
"Afzalgunj","Abids Grammar School",17.37331,78.47693,17.39333,78.47625,3.5,13,1,"9M → 1M/D","9M: Afzalgunj → Nampally Railway Station (3 stops) | 1M/D: Nampally Railway Station → Abids Grammar School (3 stops)"
"Afzalgunj","Dilsukhnagar",17.37331,78.47693,17.36862,78.52366,5.4,20,0,"72V","72V: Afzalgunj → Dilsukhnagar (9 stops)"
"Afzalgunj","Sathamrai",17.37331,78.47693,17.27452,78.40118,14,48,1,"AA → 188","AA: Afzalgunj → Aramghar (3 stops) | 188: Aramghar → Sathamrai (4 stops)"
"Afzalgunj","Gajularam X Road",17.37331,78.47693,17.51010,78.44771,18.3,63,1,"9M → 9M/X","9M: Afzalgunj → Sanath Nagar (17 stops) | 9M/X: Sanath Nagar → Gajularam X Road (9 stops)"
"Afzalgunj","Rc Puram",17.37331,78.47693,17.51362,78.28780,29.3,99,1,"9M → 222A","9M: Afzalgunj → Lakdikapool (5 stops) | 222A: Lakdikapool → Rc Puram (33 stops)"
"Afzalgunj","Kphb",17.37331,78.47693,17.49456,78.40081,16.1,56,1,"9M → 9EM","9M: Afzalgunj → Erragadda (15 stops) | 9EM: Erragadda → Kphb Metro Station (4 stops)"
"Afzalgunj","Pisal Banda",17.37331,78.47693,17.33995,78.50379,6.8,25,2,"72V → 277K → 460","72V: Afzalgunj → Chadarghat (4 stops) | 277K: Chadarghat → Is Sadan (5 stops) | 460: Is Sadan → Pisal Banda (3 stops)"
"Afzalgunj","Police Lines",17.37331,78.47693,17.44365,78.47499,10.1,37,1,"8/26S → 147","8/26S: Afzalgunj → Paradise (10 stops) | 147: Paradise Metro Station → Police Lines (2 stops)"
"Afzalgunj","Uppal X Road",17.37331,78.47693,17.40126,78.56007,10.4,37,1,"65K/123 → 113Z/M","65K/123: Afzalgunj → Kachiguda Railway Station (4 stops) | 113Z/M: Fever Hospital → Uppal X Road (10 stops)"
"Afzalgunj","Boats Club",17.37331,78.47693,17.42644,78.48664,6.9,24,0,"8/26S","8/26S: Afzalgunj → Boats Club (8 stops)"
"Afzalgunj","Womens College",17.37331,78.47693,17.38481,78.48762,3,12,1,"65K/123 → 152","65K/123: Afzalgunj → Chadarghat (3 stops) | 152: Chadarghat → Womens College (2 stops)"
"Afzalgunj","Hydernagar",17.37331,78.47693,17.49919,78.38352,18,61,1,"9M → 9EM","9M: Afzalgunj → Erragadda (15 stops) | 9EM: Erragadda → Hydernagar (5 stops)"
"Afzalgunj","Charminar",17.37331,78.47693,17.35868,78.47403,2.6,11,0,"253M","253M: Darul Shifa → Charminar (2 stops)"
"Afzalgunj","Hitech City",17.37331,78.47693,17.44995,78.38257,15.6,53,1,"9M → 222A","9M: Afzalgunj → Lakdikapool (5 stops) | 222A: Lakdikapool → Hitech City (16 stops)"
"Afzalgunj","Ameerpet",17.37331,78.47693,17.43155,78.44765,7.4,26,0,"9M","9M: Afzalgunj → Ameerpet (11 stops)"
"Afzalgunj","Gandipet X Road",17.37331,78.47693,17.38500,78.33100,16.5,57,1,"1JK → 94/220K","1JK: Afzalgunj → Langar House (9 stops) | 94/220K: Langar House → Gandipet X Road (13 stops)"
"Afzalgunj","Gachibowli",17.37331,78.47693,17.43966,78.36356,16.5,57,1,"9M → 6L","9M: Afzalgunj → Lakdikapool (5 stops) | 6L: Lakdikapool → Gachibowli X Road (8 stops)"
